v3,v2
AbbreviatedForm,AbbreviatedForm
AccusativePostPositiveArg,AccusativePostPositiveArgument
AdjectivalComplementFrame,AdjectivalComplementFrame
Adjective,Adjective
Adjective-i,
Adjective-na,
AdjectiveAccusativePostPositiveFrame,AdjectiveAccusativePostPositiveFrame
AdjectiveAttributiveFrame,AdjectiveAttributiveFrame
AdjectiveComparativeFrame,AdjectiveComparativeFrame
AdjectiveDativePostPositiveFrame,AdjectiveDativePostPositiveFrame
AdjectiveFrame,AdjectiveFrame
AdjectiveGenitivePostPositiveFrame,AdjectiveGenitivePostPositiveFrame
AdjectiveImpersonalFrame,AdjectiveImpersonalFrame
AdjectivePOS,AdjectivePOS
AdjectivePPFrame,AdjectivePPFrame
AdjectivePhrase,AdjectivePhrase
AdjectivePostPositiveFrame,AdjectivePostPositiveFrame
AdjectivePredicateFrame,AdjectivePredicateFrame
AdjectivePredicativeFrame,AdjectivePredicativeFrame
AdjectiveScaleFrame,AdjectiveScaleFrame
AdjectiveSuperlativeFrame,AdjectiveSuperlativeFrame
Adjunct,Adjunct
Adposition,Adposition
AdpositionPOS,AdpositionPOS
AdpositionalObject,AdpositionalObject
Adverb,Adverb
AdverbPOS,AdverbPOS
AdverbialComplement,
AdverbialComplementFrame,AdverbialComplementFrame
AdverbialPronoun,
AffirmativeParticle,
AffixedPersonalPronoun,
AllusivePronoun,
Animacy,Animacy
ArbitraryControl,ArbitraryControl
Article,Article
ArticlePOS,ArticlePOS
Aspect,Aspect
AttributiveArg,AttributiveArgument
Bullet,
CJK_compound,CJK_compound
CardinalNumeral,
Case,Case
Circumposition,
ClausalArg,ClausalArgument
Cliticness,Cliticness
CloseParenthesis,
CollectivePronoun,
Colon,
Comma,
CommonNoun,CommonNoun
ComparativeAdjunct,ComparativeAdjunct
ComparativeParticle,
Complement,Complement
CompoundPreposition,
ConditionalParticle,
ConditionalPronoun,
Conjunction,Conjunction
ConjunctionPOS,ConjunctionPOS
Control,Control
CoordinatingConjunction,
CoordinationParticle,
Copula,
CopulativeArg,
CopulativeSubject,
Dating,Dating
DativePostPositiveArg,DativePostPositiveArgument
DativeTransitiveFrame,DativeTransitiveFrame
DeclarativeClause,DeclarativeClause
DeclarativeFrame,DeclarativeFrame
DeficientVerb,
DefiniteArticle,
Definiteness,Definiteness
Degree,Degree
DemonstrativeDeterminer,
DemonstrativePronoun,
Determiner,Determiner
DeterminerPOS,DeterminerPOS
DiminutiveNoun,
DirectObject,DirectObject
DistinctiveParticle,
DitransitiveDoubleAccusativeFrame,DitransitiveDoubleAccusativeFrame
DitransitiveFrame,DitransitiveFrame
DitransitiveFrame_For,DitransitiveFrame_For
DitransitiveFrame_To,DitransitiveFrame_To
EmphaticPronoun,
ExclamativeDeterminer,
ExclamativePoint,
ExclamativePronoun,
ExistentialPronoun,
Finiteness,Finiteness
Frequency,Frequency
FusedPreposition,FusedPreposition
FusedPrepositionDeterminer,
FusedPrepositionPOS,FusedPrepositionPOS
FusedPrepositionPronoun,
FusedPronounAuxiliary,
FutureParticle,
Gender,Gender
GeneralAdverb,
GeneralizationWord,
GenericNumeral,
GenitiveDitransitiveFrame,GenitiveDitransitiveFrame
GenitiveObject,GenitiveObject
GenitivePostPositiveArg,GenitivePostPositiveArgument
GenitiveTransitiveFrame,GenitiveTransitiveFrame
GerundACFrame,GerundACFrame
GerundClause,Gerund
GerundFrame,GerundFrame
GerundOCFrame,GerundOCFrame
GerundSCFrame,GerundSCFrame
ImpersonalFrame,ImpersonalFrame
ImpersonalIntransitiveFrame,ImpersonalIntransitiveFrame
ImpersonalIntransitivePPFrame,ImpersonalIntransitivePPFrame
ImpersonalPronoun,
ImpersonalTransitiveFrame,ImpersonalTransitiveFrame
IndefiniteArticle,
IndefiniteCardinalNumeral,
IndefiniteDeterminer,
IndefiniteMultiplicativeNumeral,
IndefiniteOrdinalNumeral,
IndefinitePronoun,
IndirectObject,IndirectObject
InfinitiveClause,InfinitiveClause
InfinitiveFrame,InfinitiveFrame
InfinitiveParticle,
Infix,Infix
Interjection,Interjection
InterrogativeCardinalNumeral,
InterrogativeClause,InterrogativeClause
InterrogativeDeterminer,
InterrogativeFrame,InterrogativeFrame
InterrogativeInfinitiveClause,
InterrogativeInfinitiveFrame,InterrogativeInfinitiveFrame
InterrogativeMultiplicativeNumeral,
InterrogativeOrdinalNumeral,
InterrogativeParticle,
InterrogativePronoun,
InterrogativeRelativePronoun,
IntransitiveAdjectivalComplementFrame,IntransitiveAdjectivalComplementFrame
