ID,Type,Definition
AdjectivalComplementFrame,VerbFrame,
AdjectiveAccusativePostPositiveFrame,AdjectivePostPositiveFrame,
AdjectiveAttributiveFrame,AdjectiveFrame,
AdjectiveComparativeFrame,AdjectiveFrame,
AdjectiveDativePostPositiveFrame,AdjectivePostPositiveFrame,
AdjectiveFrame,,
AdjectiveGenitivePostPositiveFrame,AdjectivePostPositiveFrame,
AdjectiveImpersonalFrame,AdjectiveFrame,
AdjectivePPFrame,AdjectiveFrame,
AdjectivePostPositiveFrame,AdjectiveFrame,
AdjectivePredicateFrame,AdjectiveFrame,Note this frame should be used when both attributive and predicative use of the adjective is allowed
AdjectivePredicativeFrame,AdjectiveFrame,
AdjectiveScaleFrame,AdjectiveFrame,
AdjectiveSuperlativeFrame,AdjectiveFrame,
AdverbialComplementFrame,VerbFrame,
ArbitraryControl,Control,Indicates either the subject or object of the main clause may be the omitted argument of the subclause
Control,,Control indicates how a an argument from a main clause will be utilized in a subclause. This class includes both control structures and raising structures
DativeTransitiveFrame,VerbFrame,
DeclarativeFrame,VerbFrame,"Declarative frames take a clause as an argument, this argument is marker with the declarative conjunction (&quot;that&quot; in English)"
DitransitiveDoubleAccusativeFrame,VerbFrame,
DitransitiveFrame,VerbFrame,
DitransitiveFrame_For,DitransitiveFrame,
DitransitiveFrame_To,DitransitiveFrame,
GenitiveDitransitiveFrame,VerbFrame,
GenitiveTransitiveFrame,VerbFrame,
GerundACFrame,GerundFrame,
GerundFrame,VerbFrame,Indicates one of the arguments is a gerund clause
GerundOCFrame,GerundFrame,
GerundSCFrame,GerundFrame,
ImpersonalFrame,VerbFrame,
ImpersonalIntransitiveFrame,ImpersonalFrame,
ImpersonalIntransitivePPFrame,PrepositionalFrame,
ImpersonalTransitiveFrame,ImpersonalFrame,
InfinitiveFrame,VerbFrame,Infinitive frames take an infinitive clause as an argument
InterrogativeFrame,VerbFrame,"Indicates the frame has a subframe indicated with the appropriate interrogative (e.g., &quot;who&quot;, &quot;where&quot;, &quot;how&quot;)"
InterrogativeInfinitiveFrame,VerbFrame,Indicates the frame has an argument that is a clause with both an interrogative and the clause is in the infinitive form
IntransitiveAdjectivalComplementFrame,IntransitiveFrame,
IntransitiveAdverbialComplementFrame,IntransitiveFrame,
IntransitiveDeclarativeFrame,DeclarativeFrame,
IntransitiveFrame,VerbFrame,
IntransitiveInfinitiveACFrame,InfinitiveFrame,
IntransitiveInfinitiveRSFrame,InfinitiveFrame,
IntransitiveInfinitiveSCFrame,InfinitiveFrame,
IntransitiveInterrogativeFrame,InterrogativeFrame,
IntransitiveInterrogativeInfinitiveFrame,InterrogativeInfinitiveFrame,
IntransitiveNominalComplementFrame,IntransitiveFrame,
IntransitivePPDeclarativeFrame,DeclarativeFrame,
IntransitivePPFrame,IntransitiveFrame,
IntransitiveSententialFrame,SententialFrame,
NominalComplementFrame,VerbFrame,
NounFrame,,
NounPPFrame,NounFrame,
NounPossessiveFrame,NounFrame,
NounPredicateFrame,NounFrame,
ObjectControl,Control,Indicates the object of the main clause is also the (omitted) object of the subclause
PPFrame,VerbFrame,
PrepositionFrame,,
PrepositionalFrame,,Abstract frame for words that take a prepositional phrase as an argument
PrepositionalInterrogativeFrame,VerbFrame,
PrepositionalPhraseFrame,PrepositionFrame,
RaisingSubject,Control,Indicates the syntactic subject of the main clause is in fact the subject of the subclause. The main clause should then be interpreted as being impersonal.
ReciprocalFrame,VerbFrame,
ReflexiveDativeTransitiveFrame,ReflexiveFrame,
ReflexiveDitransitiveFrame,ReflexiveFrame,
ReflexiveFrame,VerbFrame,
ReflexiveReciprocalFrame,ReflexiveFrame,
ReflexiveTransitiveFrame,ReflexiveFrame,
ReflexiveTransitivePPFrame,ReflexiveFrame,
SententialFrame,VerbFrame,"Sentential frames take a clause as argument, no conjunction is used and the syntax of the clause is the same as a main clause"
SubjectControl,Control,Indicates the subject of the main clause is the (omitted) subject of the subclause
SubjectlessFrame,VerbFrame,
SubjectlessIntransitiveFrame,SubjectlessFrame,
SubjectlessIntransitivePPFrame,SubjectlessIntransitiveFrame,
SubjectlessTransitiveFrame,SubjectlessFrame,
SubjectlessTransitivePPFrame,SubjectlessTransitiveFrame,
TransitiveAdjectivalComplementFrame,TransitiveFrame,
TransitiveAdverbialComplementFrame,TransitiveFrame,
TransitiveDeclarativeFrame,DeclarativeFrame,
TransitiveFrame,VerbFrame,
TransitiveInfinitiveACFrame,InfinitiveFrame,
TransitiveInfinitiveOCFrame,InfinitiveFrame,
TransitiveInfinitiveSCFrame,InfinitiveFrame,
TransitiveInterrogativeFrame,InterrogativeFrame,
TransitiveInterrogativeInfinitiveFrame,InterrogativeInfinitiveFrame,
TransitiveNominalComplementFrame,TransitiveFrame,
TransitivePPFrame,TransitiveFrame,
TransitiveSententialFrame,SententialFrame,
VerbFrame,,
