ID,Type,Language,Text
Adjective,label,be,прыметнік
Adjective,label,bg,прилагателно име
Adjective,label,ca,adjectiu
Adjective,label,cs,přídavné jméno
Adjective,label,da,tillægsord
Adjective,label,de,Adjektiv
Adjective,label,el,επίθετο
Adjective,label,es,adjetivo
Adjective,label,et,omadussõna
Adjective,label,eu,adjektibo
Adjective,label,fi,adjektiivi
Adjective,label,fr,adjectif
Adjective,label,ga,aidiacht
Adjective,label,gl,adxectivo
Adjective,label,he,שם תואר
Adjective,label,hr,pridjevi
Adjective,label,hu,melléknév
Adjective,label,is,lýsingarorð
Adjective,label,it,aggettivo
Adjective,label,lt,būdvardis
Adjective,label,lv,īpašības vārds
Adjective,label,mk,придавка
Adjective,label,mt,aġġettiv
Adjective,label,nb,adjektiv
Adjective,label,nl,bijvoeglijk naamwoord
Adjective,label,nn,adjektiv
Adjective,label,pl,przymiotnik
Adjective,label,pt,adjetivo
Adjective,label,ro,adjectiv
Adjective,label,ru,прилагательное
Adjective,label,sk,prídavné meno
Adjective,label,sl,pridevnik
Adjective,label,sq,mbiemri
Adjective,label,sr,придев
Adjective,label,sv,adjektiv
Adjective,label,uk,прикметник
AdjectivePOS,label,be,прыметнік
AdjectivePOS,label,bg,прилагателно име
AdjectivePOS,label,ca,adjectiu
AdjectivePOS,label,cs,přídavné jméno
AdjectivePOS,label,da,tillægsord
AdjectivePOS,label,de,Adjektiv
AdjectivePOS,label,el,επίθετο
AdjectivePOS,label,es,adjetivo
AdjectivePOS,label,et,omadussõna
AdjectivePOS,label,eu,adjektibo
AdjectivePOS,label,fi,adjektiivi
AdjectivePOS,label,fr,adjectif
AdjectivePOS,label,ga,aidiacht
AdjectivePOS,label,gl,adxectivo
AdjectivePOS,label,he,שם תואר
AdjectivePOS,label,hr,pridjevi
AdjectivePOS,label,hu,melléknév
AdjectivePOS,label,is,lýsingarorð
AdjectivePOS,label,it,aggettivo
AdjectivePOS,label,lt,būdvardis
AdjectivePOS,label,lv,īpašības vārds
AdjectivePOS,label,mk,придавка
AdjectivePOS,label,mt,aġġettiv
AdjectivePOS,label,nb,adjektiv
AdjectivePOS,label,nl,bijvoeglijk naamwoord
AdjectivePOS,label,nn,adjektiv
AdjectivePOS,label,pl,przymiotnik
AdjectivePOS,label,pt,adjetivo
AdjectivePOS,label,ro,adjectiv
AdjectivePOS,label,ru,прилагательное
AdjectivePOS,label,sk,prídavné meno
AdjectivePOS,label,sl,pridevnik
AdjectivePOS,label,sq,mbiemri
AdjectivePOS,label,sr,придев
AdjectivePOS,label,sv,adjektiv
AdjectivePOS,label,uk,прикметник
AdjectivePhrase,label,ca,sintagma adjectival
AdjectivePhrase,label,de,Adjektivphrase
AdjectivePhrase,label,es,sintagma adjetivo
AdjectivePhrase,label,et,Omadussõnafraas
AdjectivePhrase,label,eu,adjektibo perpaus
AdjectivePhrase,label,nn,Adjektivfrase
AdjectivePhrase,label,sv,Adjektivfras
Adposition,label,ca,adposició
Adposition,label,cs,záložka
Adposition,label,da,adposition
Adposition,label,de,Adposition
Adposition,label,el,πρόθεση
Adposition,label,es,adposición
Adposition,label,et,kaassõna
Adposition,label,eu,adposizio
Adposition,label,fi,adpositio
Adposition,label,fr,adposition
Adposition,label,he,מילת יחס
