ID,Type,Definition
adjective,Adjective,Part of speech related to attributes of noun.
adjective-i,Adjective,Deverbal adjective in Japanese ending with the '-i' suffix in dictionary form
adjective-na,Adjective,Denominal adjectives in Japanese formed from a noun plus the particle 'na'
adposition,Adposition,"Part of speech that occurs before/inside/after a complement composed of a noun phrase, noun, pronoun or clause that functions as a noun phrase and form a single structure with the complement to express its grammatical and semantic relation to another unit."
adverb,Adverb,Part of speech to refer to an heterogeneous group of words whose most frequent function is to specify the mode of action of the verb.
adverbialPronoun,Pronoun,()
affirmativeParticle,Particle,Particle used to express affirmation.
affixedPersonalPronoun,Pronoun,"Personnal pronoun that is affixed, i.e. added as an affix to another word."
allusivePronoun,Pronoun,Pronoun that refers to something characterized by allusions.
article,Determiner,Term used in the grammatical classification of words referring to a subclass of determiners which displays a primary role in differentiating the uses of nouns.
bullet,Symbol,Sign used to mark an item in a list.
cardinalNumeral,Numeral,A word denoting a number.
circumposition,Adposition,Adposition which consists of two parts which are positioned ahead and after the adpositional foci.
closeParenthesis,Symbol,End of a parenthesis pair.
collectivePronoun,Pronoun,A pronoun that refers to all elements of a set.
colon,Symbol,"Sign with two vertical points that is used in writing and printing to introduce an explanation, example or quotation."
comma,Symbol,"Mark (,) used in writing to show a short pause or to separate items in a list."
commonNoun,Noun,A noun or adjective denoting a class of objects. // Noun that signifies a non-specific member of a group.
comparativeParticle,Particle,Particle used to compare.
compoundPreposition,Adposition,Preposition that is a aggregation of words
conditionalParticle,Particle,conditional particule
conditionalPronoun,Pronoun,conditional pronoun
conjunction,Conjunction,"Word that syntactically links words or constituents, and expresses a semantic relationship between them."
coordinatingConjunction,Conjunction,Conjunction that links constituents.
coordinationParticle,Particle,particle for coordination
copula,Verb,Special word that combines the subject of a sentence and its description.
deficientVerb,Verb,verb lacking certain morphosyntactic properties
definiteArticle,Article,"Article that allows the reference to a specific, identifiable entity (or class of entities)."
demonstrativeDeterminer,Determiner,Determiner used to point to an entity in the situation or elsewhere in a sentence.
demonstrativePronoun,Pronoun,Pronoun used to point to an entity in the situation or elsewhere in a sentence.
determiner,Determiner,"Word or affix that belongs to a class of noun modifiers that expresses the reference, including quantity, of a noun."
diminutiveNoun,Noun,diminutive noun
distinctiveParticle,Particle,distinctive particle
