ID,Definition
adverbialPronoun,()
affixedPersonalPronoun,"Personnal pronoun that is affixed, i.e. added as an affix to another word."
allusivePronoun,Pronoun that refers to something characterized by allusions.
collectivePronoun,A pronoun that refers to all elements of a set.
conditionalPronoun,conditional pronoun
demonstrativePronoun,Pronoun used to point to an entity in the situation or elsewhere in a sentence.
emphaticPronoun,An emphatic pronoun is a personal pronoun that is used to emphasize its referent.
exclamativePronoun,Pronoun marked with an emotional utterance and/or a strong intonation.
existentialPronoun,pronoun that indicates the existence of something or someone
fusedPronounAuxiliary,word resulting from the aggregation of a pronoun and an auxiliary
impersonalPronoun,Pronoun lacking person referent.
indefinitePronoun,Pronoun that does not allow reference.
interrogativePronoun,Pronoun used to express a question.
irreflexivePersonalPronoun,personal pronoun which is not reflexive
negativePronoun,Pronoun used in a context of a negation or for expressing a negation.
personalPronoun,Pronoun referring a person.
possessivePronoun,"Pronoun that expresses ownership and relationships like ownership, such as kinship, and other forms of association."
possessiveRelativePronoun,A relative pronoun whose antecedent is the possessor of the subject or object in the relative clause.
presentativePronoun,pronoun that identify the current locative or temporal situation
pronoun,Word used in place of a noun or a noun phrase.
reciprocalPronoun,Pronoun expressing mutual relationship.
reflexivePersonalPronoun,personal pronoun which is reflexive
reflexivePossessivePronoun,A possessive pronoun that refers to the subject as the possessor.
relativePronoun,Pronoun which introduces a relative clause and refers to something that has been said before.
strongPersonalPronoun,Personal pronoun that can occupy the position after a preposition and/or reinforce a weak personal pronoun.
weakPersonalPronoun,Personal pronoun that cannot occupy the position after a preposition and/or reinforce a strong personal pronoun.
